season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,home_win_0_proba,home_win_1_proba
2005,16,pohang_steelers,fc_seoul,1,0,0,0.47,0.2,0.27,0.71,0.14,0.14,1.07,0.87,1.14,0.57,1.6,2.29,0,3,7,0.2,0.4,0.33,0.2,0.57,0.14,0.29,1.67,1.33,1.71,1.43,1.53,1.86,1,7,10,0.2,0.5771990602,0.4228009398
2005,18,jeonnam_dragons,daejeon,1,0,0,0.24,0.29,0.41,0.29,0.14,0.57,0.88,1.18,1.29,1.57,1,1,3,3,3,-0.18,0.25,0.56,0.13,0,0.86,0.14,0.94,0.81,0.86,1,1.31,0.86,3,7,8,0.13,0.6660453876,0.3339546124
2005,18,seongnam_fc,jeju_united,1,0,0,0.35,0.29,0.24,0.57,0.14,0.29,1.59,1.06,1.86,1.14,1.35,1.86,1,7,8,0.12,0.41,0.29,0.24,0.5,0.38,0.13,0.88,0.65,0.75,0.25,1.53,1.88,1,7,10,0.18,0.5669734498,0.4330265502
2005,19,jeju_united,jeonbuk_fc,1,0,0,0.39,0.28,0.28,0.38,0.25,0.38,0.89,0.72,1.13,1.13,1.44,1.38,0,4,10,0.11,0.17,0.17,0.56,0.25,0.13,0.63,0.89,1.56,1,1.38,0.67,0.88,3,3,4,-0.39,0.5506224076,0.4493775924
2005,19,suwon_bluewings,pohang_steelers,1,0,0,0.28,0.39,0.28,0.13,0.5,0.38,1.28,1.28,0.75,1.25,1.22,0.88,1,4,8,0,0.44,0.22,0.28,0.25,0.38,0.38,1.06,0.89,1,1.13,1.56,1.13,0,4,7,0.17,0.6119590798,0.3880409202
2005,20,pohang_steelers,busan_ipark,1,0,0,0.42,0.21,0.32,0.67,0.11,0.22,1,0.95,1.22,0.78,1.47,2.11,0,1,4,0.11,0.37,0.26,0.26,0.5,0.38,0.13,1.16,1,1.25,0.75,1.37,1.88,0,1,1,0.11,0.5826115368,0.4173884632
2005,20,ulsan_hyundai,daejeon,1,0,0,0.47,0.16,0.32,0.33,0.22,0.44,1.21,1,0.78,0.89,1.58,1.22,3,7,8,0.16,0.21,0.47,0.21,0,0.75,0.25,0.79,0.79,0.75,1,1.11,0.75,0,3,7,0,0.4635564841,0.5364435159
2005,20,incheon_united,jeju_united,1,0,0,0.53,0.21,0.16,0.5,0.38,0.13,1.47,1,1.63,1.13,1.79,1.88,1,4,10,0.37,0.42,0.26,0.26,0.44,0.33,0.22,1,0.74,0.78,0.44,1.53,1.67,3,4,10,0.16,0.5722265738,0.4277734262
2005,20,jeonnam_dragons,sangju_sangmu,1,0,0,0.28,0.28,0.39,0.38,0.13,0.5,0.89,1.11,1.25,1.38,1.11,1.25,3,6,6,-0.11,0.16,0.21,0.58,0.38,0.13,0.5,1.05,1.53,1.63,1.63,0.68,1.25,3,7,7,-0.42,0.6051057964,0.3948942036
2005,20,seongnam_fc,suwon_bluewings,1,0,0,0.37,0.26,0.26,0.63,0.13,0.25,1.53,1.05,1.88,1.13,1.37,2,0,4,10,0.11,0.32,0.37,0.26,0.44,0.33,0.22,1.32,1.21,1.89,1.44,1.32,1.67,3,4,8,0.05,0.5619376912,0.4380623088
2005,21,jeju_united,fc_seoul,1,0,0,0.4,0.25,0.3,0.44,0.22,0.33,0.95,0.75,1.33,1.11,1.45,1.56,0,3,7,0.1,0.32,0.37,0.26,0.44,0.11,0.44,1.53,1.37,1.56,1.56,1.32,1.44,1,2,3,0.05,0.5824568545,0.4175431455
2005,22,seongnam_fc,daejeon,1,0,0,0.43,0.24,0.24,0.67,0.11,0.22,1.52,1,1.78,1,1.52,2.11,3,6,10,0.19,0.19,0.48,0.24,0,0.67,0.33,0.71,0.76,0.67,1,1.05,0.67,1,1,4,-0.05,0.464011683,0.535988317
2005,22,ulsan_hyundai,sangju_sangmu,1,0,0,0.52,0.14,0.29,0.4,0.2,0.4,1.24,0.95,0.8,0.8,1.71,1.4,3,9,13,0.24,0.15,0.2,0.6,0.33,0.11,0.56,1,1.55,1.44,1.67,0.65,1.11,0,4,7,-0.45,0.4088690579,0.5911309421
2005,23,daejeon,jeonbuk_fc,1,0,0,0.18,0.45,0.27,0.4,0.4,0.2,0.68,0.82,0.9,0.7,1,1.6,0,1,1,-0.09,0.14,0.23,0.55,0.2,0.2,0.6,0.91,1.64,1.1,1.6,0.64,0.8,1,2,5,-0.41,0.4877390876,0.5122609124
2005,24,fc_seoul,busan_ipark,1,0,0,0.3,0.3,0.3,0.2,0.6,0.2,1.43,1.26,1.6,1.4,1.22,1.2,3,3,4,0,0.3,0.26,0.35,0.4,0.4,0.2,1.13,1.13,1.1,0.8,1.17,1.6,0,1,1,-0.04,0.5449997047,0.4550002953
2005,24,jeonbuk_fc,jeonnam_dragons,1,0,0,0.13,0.22,0.57,0.1,0.3,0.6,0.91,1.65,0.9,2,0.61,0.6,0,2,2,-0.43,0.26,0.26,0.39,0.2,0.5,0.3,0.87,1.09,0.7,1,1.04,1.1,0,1,7,-0.13,0.6257909439,0.3742090561
